Suburb,Mean
Abbotsford,4865258.929
Aberfeldie,3792181.818
Airport West,3369438.627
Albanvale,3200250
Albert Park,3057507.246
Albion,2893585.366
Alphington,2812441.176
Altona,2711013.514
Altona Meadows,2623833.333
Altona North,2583705.357
Ardeer,2550000
Armadale,2472184.211
Ascot Vale,2350107.692
Ashburton,2254300
Ashwood,2206891.304
Aspendale,2200000
Aspendale Gardens,2190750
Attwood,2180000
Avondale Heights,2148783.784
Bacchus Marsh,2115000
Balaclava,2102111.111
Balwyn,2050196.262
Balwyn North,1965178.363
Bayswater,1911750
Bayswater North,1910000
Beaconsfield,1909000
Beaconsfield Upper,1908000
Beaumaris,1902166.667
Bellfield,1900000
Bentleigh,1871521.583
Bentleigh East,1793151.406
Berwick,1750000
Black Rock,1746250
Blackburn,1737095.238
Blackburn North,1727214.286
Blackburn South,1723458.333
Bonbeach,1720000
Boronia,1718118.357
Box Hill,1705593.22
Braybrook,1696247.565
Briar Hill,1683562.5
Brighton,1653948.86
Brighton East,1612460.145
Broadmeadows,1597652.174
Brookfield,1590000
Brooklyn,1590000
Brunswick,1549434.685
Brunswick East,1504409.091
Brunswick West,1488868.182
Bulleen,1464654.93
Bullengarook,1460000
Bundoora,1452402.778
Burnley,1450000
Burnside,1450000
Burnside Heights,1450000
Burwood,1437320.095
Burwood East,1425406.25
Cairnlea,1425000
Camberwell,1411109.47
Campbellfield,1400000
Canterbury,1400000
Carlton,1395107.843
Carlton North,1382766.667
Carnegie,1361582.192
Caroline Springs,1350000
Carrum,1350000
Carrum Downs,1350000
Caulfield,1348250
Caulfield East,1345000
Caulfield North,1339828.571
Caulfield South,1332159.574
Chadstone,1325857.143
Chelsea,1322400
Chelsea Heights,1321797
Cheltenham,1319521.739
Chirnside Park,1316000
Clarinda,1315000
Clayton,1315000
Clayton South,1311454.545
Clifton Hill,1307403.509
Coburg,1296236.842
Coburg North,1278419.643
Collingwood,1268784.615
Coolaroo,1260125
Craigieburn,1258872.34
Cranbourne,1255000
Cranbourne North,1255000
Cremorne,1252632
Croydon,1250000
Croydon Hills,1250000
Croydon North,1250000
Croydon South,1250000
Dallas,1250000
Dandenong,1250000
Dandenong North,1246656.25
Deepdene,1245000
Deer Park,1241642.857
Delahey,1240000
Derrimut,1240000
Diamond Creek,1240000
Diggers Rest,1238000
Dingley Village,1235380.952
Docklands,1232666.667
Doncaster,1223974.224
Doncaster East,1212012.195
Donvale,1210000
Doreen,1209666.667
Doveton,1207142.857
Eaglemont,1204913.043
East Melbourne,1200681.818
Edithvale,1200000
Elsternwick,1200000
Eltham,1198960
Eltham North,1194015.385
Elwood,1180320.611
Emerald,1170000
Endeavour Hills,1168500
Epping,1161634.615
Essendon,1140568.182
Essendon North,1118840.909
Essendon West,1114211.538
Fairfield,1109081.395
Fawkner,1100673.529
Ferntree Gully,1100000
Fitzroy,1092555.932
Fitzroy North,1077556.731
Flemington,1064588.71
Footscray,1050738.636
Forest Hill,1040227.273
Frankston,1037041.667
Frankston North,1035000
Frankston South,1033318.75
Gardenvale,1030333.333
Gisborne,1030000
Gladstone Park,1028990
Glen Huntly,1025000
Glen Iris,1011860.513
Glen Waverley,1000255.578
Glenroy,994959.7421
Gowanbrae,983916.6667
Greensborough,980180.5556
