Suburb,Address,Type,Price,Method,SellerG,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Latitude,Longitude,Regionname
Fitzroy,389 Gore St,h,2700000,VB,Kay,2.1,3065,3,3,1,80931,-37.79751,144.98309,Northern Metropolitan
Silvan,16 Eleanor Dr,h,1085000,S,Harcourts,34.6,3795,3,2,2,44500,-37.84739,145.47052,Eastern Victoria
Balwyn North,9 Gildan St,h,2000000,VB,Kay,9.2,3104,3,1,2,40468,-37.8002,145.07,Southern Metropolitan
New Gisborne,71 Hamilton Rd,h,1355000,S,Raine,48.1,3438,5,3,5,38490,-37.45392,144.58864,Northern Victoria
Reservoir,14 Beenak St,h,572000,S,Ray,11.2,3073,3,1,2,20200,-37.7104,145.0257,Northern Metropolitan
Gisborne,21 Braeside Rd,h,807000,S,Raine,45.9,3437,4,2,3,17200,-37.50929,144.56444,Northern Victoria
Silvan,1 Parker Rd,h,1070000,S,Ray,34.6,3795,4,2,3,17200,-37.83229,145.43003,Eastern Victoria
Maribyrnong,2/6 Horizon Dr,u,585000,S,Brad,4.3,3032,2,2,2,,-37.77518,144.89254,Western Metropolitan
Maribyrnong,44/2 Horizon Dr,u,495000,S,Brad,8.7,3032,2,2,2,,-37.7752,144.8925,Western Metropolitan
Port Melbourne,55/4 Seisman Pl,u,1030000,S,Buxton,3.8,3207,2,2,2,,-37.8424,144.9449,Southern Metropolitan
Port Melbourne,36/3 Seisman Pl,u,1340000,VB,Chisholm,3.8,3207,2,2,2,,-37.8424,144.9449,Southern Metropolitan
Gisborne,204 Panorama Dr,h,780000,S,Raine,45.9,3437,4,3,2,15900,-37.49674,144.62618,Northern Victoria
South Yarra,1001/800 Chapel St,u,1090000,S,hockingstuart,2.7,3141,2,2,2,,-37.83613,144.99661,Southern Metropolitan
South Yarra,503/99 River St,u,978500,S,hockingstuart,3.3,3141,2,2,2,,-37.8361,144.9966,Southern Metropolitan
South Yarra,403/79 River St,u,850000,S,hockingstuart,3.3,3141,2,2,2,,-37.8361,144.9966,Southern Metropolitan
South Yarra,504/79 River St,u,827000,S,hockingstuart,3.3,3141,2,2,2,,-37.8361,144.9966,Southern Metropolitan
South Yarra,308/800 Chapel St,u,762500,S,hockingstuart,2.7,3141,2,1,1,,-37.83613,144.99661,Southern Metropolitan
Travancore,2115/18 Mt Alexander Rd,u,341500,S,McGrath,4.3,3032,2,1,1,,-37.78466,144.93829,Western Metropolitan
Collingwood,4/170 Oxford St,u,950000,S,Jellis,1.6,3066,3,2,1,,-37.8035,144.985,Northern Metropolitan
Collingwood,1/78 Oxford St,t,945000,S,Jellis,1.6,3066,2,1,1,9838,-37.8035,144.985,Northern Metropolitan
Maidstone,17/46 Eucalyptus Dr,u,352500,S,hockingstuart,9.2,3012,2,1,1,,-37.7795,144.8729,Western Metropolitan
South Yarra,413/35 Malcolm St,u,315000,PI,hockingstuart,3.3,3141,1,1,0,,-37.8372,144.9963,Southern Metropolitan
Richmond,36/73 River St,u,592000,SA,Jellis,2.4,3121,2,2,1,,-37.81894,145.01314,Northern Metropolitan
Richmond,52/73 River St,u,615000,PI,hockingstuart,2.4,3121,2,2,1,,-37.81894,145.01314,Northern Metropolitan
Kew East,9 Tanner Av,h,1600000,VB,Noel,7.3,3102,4,2,2,8223,-37.79459,145.03921,Southern Metropolitan
Essendon North,1 Dudley St,h,1425000,S,McGrath,9.4,3041,3,2,2,8223,-37.7376,144.8954,Western Metropolitan
Hampton,46/15 Beach Rd,u,1210000,SP,Chisholm,13.8,3188,3,2,2,,-37.93464,144.99601,Southern Metropolitan
Carlton,50 Dorrit St,h,1760000,S,hockingstuart,1.6,3053,3,1,,8216,-37.79945,144.96653,Northern Metropolitan
Fitzroy North,90 Bennett St,h,1400000,PI,McGrath,3.6,3068,3,2,,8140,-37.78101,144.98843,Northern Metropolitan
Southbank,61/120 Sturt St,u,642500,S,Greg,0.7,3006,2,1,1,,-37.82481,144.96669,Southern Metropolitan
Footscray,13/2 Saltriver Pl,u,674000,S,Jellis,6.4,3011,3,2,1,,-37.8016,144.9082,Western Metropolitan
Richmond,412/10 Burnley St,u,421000,SP,Biggin,2.6,3121,1,1,1,,-37.8127,145.0094,Northern Metropolitan
Richmond,406/20 Burnley St,u,345000,PI,Ray,2.6,3121,1,1,1,,-37.8127,145.0094,Northern Metropolitan
Prahran,18/61 High St,u,685000,S,hockingstuart,4.5,3181,2,1,1,,-37.8508,144.9874,Southern Metropolitan
Prahran,16A Perth St,h,1050000,S,Marshall,4.5,3181,3,2,1,7170,-37.85,144.9876,Southern Metropolitan
Canterbury,108/2 Gascoyne St,u,816000,S,Nelson,8.4,3126,2,2,1,,-37.82091,145.06011,Southern Metropolitan
St Kilda,37/151 Fitzroy St,u,571000,S,Whiting,6.1,3182,2,1,1,,-37.8591,144.979,Southern Metropolitan
Richmond,106/59 Stawell St,u,560000,PI,Ray,2.6,3121,2,1,1,,-37.822,145.0104,Northern Metropolitan
Richmond,107/61 Stawell St,u,432000,SP,Biggin,2.4,3121,1,1,1,,-37.82201,145.0104,Northern Metropolitan
Richmond,110/61 Stawell St,u,405000,PI,McGrath,2.6,3121,1,1,1,,-37.822,145.0104,Northern Metropolitan
Thornbury,85A Clyde St,t,1100000,VB,Jellis,6.5,3071,3,2,2,6494,-37.7614,145.0118,Northern Metropolitan
St Kilda,18/41 Chapel St,u,610000,S,hockingstuart,6.1,3182,3,1,2,,-37.861,144.9915,Southern Metropolitan
Port Melbourne,204/52 Nott St,u,575000,S,Biggin,3.8,3207,2,1,1,,-37.841,144.9386,Southern Metropolitan
Hawthorn,8/8 Wallen Rd,u,1080000,S,Jellis,5.3,3122,2,2,2,,-37.82712,145.02427,Southern Metropolitan
Port Melbourne,405/2 Rouse St,u,600000,S,Marshall,3.8,3207,1,1,1,,-37.8443,144.9437,Southern Metropolitan
Port Melbourne,202/2 Rouse St,u,625000,S,Biggin,3.5,3207,2,1,1,,-37.84432,144.94372,Southern Metropolitan
Fitzroy North,75/682 Nicholson St,u,850250,S,Woodards,3.6,3068,3,2,1,,-37.78334,144.97782,Northern Metropolitan
Hawthorn,28/168 Power St,u,360000,PI,Woodards,4.6,3122,1,1,1,,-37.8254,145.0255,Southern Metropolitan
Fitzroy,411/416 Gore St,u,1060000,PI,Jellis,2.1,3065,3,2,2,,-37.7967,144.98363,Northern Metropolitan
Fitzroy,502/416 Gore St,u,790000,S,Nelson,2.1,3065,2,1,2,,-37.7967,144.98363,Northern Metropolitan
Fitzroy,29 Bell St,t,1350000,S,Nelson,1.6,3065,2,1,2,5467,-37.799,144.975,Northern Metropolitan
St Kilda,26/12 Clyde St,u,530000,PI,Buxton,6.1,3182,2,1,1,,-37.8656,144.9782,Southern Metropolitan
South Yarra,2/100 Commercial Rd,u,805000,S,Kay,3.3,3141,3,2,3,,-37.8453,144.9849,Southern Metropolitan
Chadstone,23 Oakpark Dr,h,990000,PI,Buxton,11.7,3148,3,2,2,5259,-37.88932,145.10299,Southern Metropolitan
Keilor East,18 Heatherlea Cr,h,886000,S,Nelson,11.7,3033,4,2,4,5042,-37.748,144.85098,Western Metropolitan
Maribyrnong,104 Gatehouse Pl,u,420000,SP,Biggin,8.7,3032,2,1,2,,-37.773,144.8806,Western Metropolitan
St Kilda,10/352 Canterbury Rd,u,500000,S,Wilson,6.1,3182,2,1,1,,-37.859,144.9767,Southern Metropolitan
South Yarra,9/384 Toorak Rd,u,485000,PI,Biggin,3.3,3141,2,1,0,,-37.8406,145.0035,Southern Metropolitan
Murrumbeena,22/41 Murrumbeena Rd,u,605000,SP,Fletchers,12.1,3163,2,2,2,,-37.8882,145.0666,Southern Metropolitan
Murrumbeena,116/41 Murrumbeena Rd,u,500000,VB,Beller,12.1,3163,2,2,1,,-37.8882,145.0666,Southern Metropolitan
Hawthorn,15/1 Muir St,u,1150000,S,Marshall,5.3,3122,3,2,1,,-37.81442,145.01531,Southern Metropolitan
Port Melbourne,1001/107 Beach St,u,2460000,S,Marshall,3.8,3207,3,2,2,,-37.8405,144.9319,Southern Metropolitan
Donvale,1 Bernarra Ct,h,2705000,S,Ray,16.1,3111,7,2,4,4676,-37.76598,145.19329,Eastern Metropolitan
Maribyrnong,23/4 Wests Rd,h,456000,SP,Raine,8.7,3032,3,2,2,4668,-37.7737,144.8816,Western Metropolitan
